vehicles_N,vehicles_S,vehicles_E,vehicles_W,ped_N,ped_S,ped_E,ped_W,emg_N,emg_S,emg_E,emg_W,green_N,green_S,green_E,green_W
179,127,130,163,0,1,1,1,2,0,3,3,320.2,230.1,232.5,291.90000000000003
26,9,136,5,3,1,1,1,2,2,2,0,49.300000000000004,15.7,244.3,10.5
65,14,88,53,0,1,3,3,2,2,2,3,115.0,24.7,160.9,96.9
33,37,32,48,3,1,1,0,0,0,0,2,63.9,68.10000000000001,59.1,84.4
68,153,3,89,0,2,1,1,3,3,0,0,119.4,275.40000000000003,6.9,161.70000000000002
68,67,42,69,1,0,3,0,3,0,0,2,120.9,120.60000000000001,80.10000000000001,122.2
98,42,0,66,3,2,3,3,0,0,3,1,180.9,78.60000000000001,0.0,122.3
32,60,16,20,2,0,2,0,2,2,1,2,58.6,106.0,30.8,34.0
56,49,55,3,0,0,1,2,3,3,1,0,97.8,85.2,99.5,8.4
42,3,66,54,2,2,3,2,0,3,2,2,78.60000000000001,5.4,121.3,98.2
34,43,21,39,2,2,1,0,2,2,3,3,62.2,78.4,36.300000000000004,67.2
54,48,47,48,2,2,3,3,3,0,2,3,97.2,89.4,87.10000000000001,87.9
43,11,20,156,1,2,2,3,1,2,3,1,77.9,20.8,36.0,284.3
66,41,7,189,3,2,3,3,1,3,0,1,122.3,73.8,17.1,343.7
53,53,89,63,1,1,0,1,2,0,2,1,94.9,96.9,158.20000000000002,113.9
14,119,127,174,1,2,3,1,1,3,0,2,25.7,214.20000000000002,233.1,312.7
43,189,43,79,0,3,1,2,3,3,0,3,74.4,341.7,78.9,142.20000000000002
200,18,21,176,3,0,3,3,2,2,3,2,362.5,30.4,39.300000000000004,319.3
119,27,108,59,3,2,1,0,3,2,0,3,215.70000000000002,49.6,195.9,103.2
12,13,24,53,2,2,1,2,0,2,0,0,24.6,24.400000000000002,44.7,98.4
57,154,68,18,0,2,3,2,1,3,3,0,101.60000000000001,277.2,123.9,35.4
82,58,15,32,2,1,1,3,0,3,3,2,150.6,102.9,25.5,60.1
8,4,17,60,0,0,0,0,1,0,2,0,13.4,7.2,28.6,108.0
56,29,117,155,2,0,0,3,3,3,3,1,100.8,49.2,207.6,282.5
62,101,59,3,1,0,0,1,2,3,0,0,111.10000000000001,178.8,106.2,6.9
9,34,24,29,2,0,2,3,0,3,3,3,19.2,58.2,43.2,53.7
112,122,18,50,1,1,2,2,2,3,1,0,201.1,218.1,34.4,93.0
35,19,4,53,1,3,0,1,0,3,2,2,64.5,35.7,5.2,94.9
43,40,4,46,0,0,2,0,2,2,2,3,75.4,70.0,8.2,79.8
92,40,12,60,2,1,2,0,2,2,2,1,166.6,71.5,22.6,107.0
44,187,10,29,3,2,1,1,3,1,1,2,80.7,338.6,18.5,51.7
111,195,47,85,0,1,0,1,1,3,3,2,198.8,349.5,81.60000000000001,152.5
8,12,2,51,2,0,1,3,1,1,3,1,16.4,20.6,2.0999999999999996,95.3
54,35,24,13,0,0,3,2,0,1,1,1,97.2,62.0,46.7,25.400000000000002
67,62,12,56,0,1,2,1,3,1,1,0,117.60000000000001,112.10000000000001,23.6,102.3
16,66,39,58,0,0,3,2,1,1,0,3,27.8,117.8,74.7,104.4
54,5,58,24,0,2,1,0,0,1,3,2,97.2,11.0,102.9,41.2
55,5,97,60,3,2,1,0,3,3,1,3,100.5,9.0,175.1,105.0
14,52,30,54,1,1,2,0,0,3,1,0,26.7,92.10000000000001,56.0,97.2
194,47,38,92,1,1,3,2,1,3,0,2,349.7,83.10000000000001,72.9,166.6
62,4,62,66,1,1,0,2,2,3,3,3,111.10000000000001,5.699999999999999,108.60000000000001,118.8
31,43,7,155,3,1,1,1,0,0,3,1,60.300000000000004,78.9,11.1,279.5
62,126,7,70,2,2,1,0,0,0,3,2,114.60000000000001,229.8,11.1,124.0
4,57,12,53,3,3,3,0,3,1,0,3,8.7,106.10000000000001,26.1,92.4
21,1,43,26,3,0,1,1,0,2,2,3,42.300000000000004,0.0,76.9,45.300000000000004
61,79,43,16,1,3,3,3,0,3,1,1,111.3,143.70000000000002,80.9,32.3
149,47,6,109,0,2,2,3,3,1,3,2,265.2,86.60000000000001,10.8,198.70000000000002
52,46,0,136,0,2,3,2,0,3,3,3,93.60000000000001,82.8,0.0,244.8
9,76,31,29,0,0,1,1,0,2,0,0,16.2,134.8,57.300000000000004,53.7
22,4,16,13,2,2,3,1,0,0,3,1,42.6,10.2,30.299999999999997,23.900000000000002
9,195,68,37,2,1,0,2,3,1,1,0,16.2,351.5,121.4,69.60000000000001
186,50,63,37,0,3,3,2,3,3,0,1,331.8,91.5,117.9,68.60000000000001
39,27,36,43,3,3,2,3,3,1,2,3,71.7,52.1,65.8,78.9
7,12,16,19,2,1,3,1,1,1,2,3,14.6,22.1,31.299999999999997,32.7
56,53,33,64,2,0,1,1,0,3,2,1,103.8,92.4,58.9,115.7
80,27,8,32,2,2,2,2,1,1,0,3,146.0,50.6,17.4,57.6
61,34,49,135,3,0,0,2,2,0,3,1,112.3,61.2,85.2,245.0
141,68,103,43,1,2,0,1,1,3,1,0,254.3,122.4,184.4,78.9
143,7,65,19,2,0,1,2,3,3,2,0,257.40000000000003,9.6,116.5,37.2
152,52,45,5,2,0,1,2,1,0,2,0,275.6,93.60000000000001,80.5,12.0
16,32,68,56,3,2,2,3,1,3,1,3,32.3,57.6,124.4,102.3
0,34,1,162,0,0,0,0,3,0,3,2,0.0,61.2,0.0,289.6
15,26,29,2,2,2,3,0,1,0,2,2,29.0,49.800000000000004,54.7,1.6
33,58,27,14,3,3,2,3,2,2,0,3,61.9,106.9,51.6,26.7
54,60,26,64,3,3,2,1,2,2,0,1,99.7,110.5,49.800000000000004,115.7
66,19,35,125,0,2,0,0,0,1,3,1,118.8,36.2,60.0,224.0
107,1,49,6,3,0,1,3,2,0,2,2,195.1,1.8,87.7,13.3
89,177,35,18,0,1,1,0,1,2,3,2,159.20000000000002,318.1,61.5,30.4
34,22,57,0,1,3,0,0,1,0,2,3,61.7,44.1,100.60000000000001,0.0
162,64,101,84,3,1,2,0,1,3,0,2,295.1,113.7,184.8,149.20000000000002
60,45,33,68,3,1,0,3,2,1,0,1,110.5,81.5,59.4,125.9
12,67,66,62,2,1,1,1,0,1,0,0,24.6,121.10000000000001,120.3,113.10000000000001
66,8,31,85,1,2,3,2,3,0,1,3,117.3,17.4,59.300000000000004,153.0
48,69,6,68,0,2,0,1,1,2,3,1,85.4,125.2,7.800000000000001,122.9
9,15,65,137,1,3,1,1,0,2,2,3,17.7,29.5,116.5,245.1
28,14,31,29,0,2,3,1,2,2,1,2,48.4,26.2,59.300000000000004,51.7
34,64,151,25,3,1,3,1,1,1,2,2,64.7,115.7,274.3,44.5
2,47,68,64,0,2,3,3,1,1,3,1,2.6,86.60000000000001,123.9,118.7
165,6,34,20,2,2,1,0,2,2,3,1,298.0,11.8,59.7,35.0
66,4,69,21,0,1,2,3,0,3,0,0,118.8,5.699999999999999,127.2,42.300000000000004
54,12,15,78,3,1,0,1,2,3,2,1,99.7,20.1,25.0,140.9
106,8,131,36,3,2,0,0,0,1,2,3,195.3,16.4,233.8,61.8
61,125,39,9,3,3,1,1,1,2,1,2,113.3,227.5,70.7,15.7
110,1,42,4,3,1,3,2,1,3,0,3,201.5,0.2999999999999998,80.10000000000001,7.199999999999999
7,54,70,44,1,0,2,1,2,3,1,1,12.1,94.2,128.0,79.7
49,195,11,65,1,2,1,3,2,3,1,0,87.7,351.0,20.3,121.5
57,11,71,43,1,2,2,3,2,1,3,3,102.10000000000001,21.8,127.80000000000001,78.9
59,14,51,65,3,0,1,0,2,3,1,3,108.7,22.2,92.3,114.0
54,29,80,38,0,2,0,0,0,0,1,2,97.2,55.2,143.0,66.4
7,22,64,64,2,1,0,2,2,3,0,1,13.6,38.1,115.2,117.2
45,170,169,65,1,1,0,2,0,2,2,1,82.5,305.5,302.2,119.0
52,43,92,48,0,2,3,1,1,2,2,2,92.60000000000001,78.4,168.1,85.9
48,31,58,70,2,0,2,1,1,0,0,0,88.4,55.800000000000004,107.4,127.5
0,50,36,57,0,0,2,1,2,0,0,0,0.0,90.0,67.8,104.10000000000001
50,24,28,10,1,0,2,2,3,2,0,1,88.5,41.2,53.4,20.0
12,2,6,18,1,3,2,1,2,1,0,3,21.1,7.1,13.8,30.9
76,45,33,34,3,2,3,0,2,0,0,0,139.3,84.0,63.9,61.2
9,39,64,27,1,3,1,3,3,3,1,1,14.7,71.7,115.7,52.1
21,43,20,32,2,2,2,3,2,1,0,0,38.800000000000004,79.4,39.0,62.1
128,93,64,69,1,1,2,3,2,2,0,3,229.9,166.9,118.2,125.69999999999999
26,15,60,26,2,1,1,0,2,3,0,1,47.800000000000004,25.5,109.5,45.800000000000004
68,18,83,12,2,0,1,1,1,1,1,2,124.4,31.4,149.9,21.1
40,16,12,27,2,0,0,0,3,2,1,3,72.0,26.8,20.6,45.6
60,44,29,13,2,3,2,1,2,0,3,2,109.0,83.7,52.2,22.900000000000002
41,166,32,159,2,3,2,2,0,1,2,3,76.8,302.3,58.6,286.2
30,49,20,8,2,3,3,3,0,3,3,3,57.0,89.7,37.5,15.899999999999999
37,1,37,7,0,3,3,1,1,3,3,3,65.60000000000001,3.3,68.10000000000001,11.1
43,4,106,53,1,0,1,1,1,2,1,2,77.9,5.2,191.3,94.9
11,22,26,69,3,1,0,0,2,0,2,3,22.3,41.1,44.800000000000004,121.2
62,79,8,162,3,2,2,1,1,2,3,1,115.10000000000001,143.20000000000002,14.399999999999999,292.1
17,2,103,41,3,0,3,1,0,0,3,1,35.1,3.6,186.9,74.3
36,59,12,6,1,3,1,2,2,0,3,2,64.3,110.7,20.1,11.8
175,66,50,51,3,3,3,1,0,3,1,3,319.5,120.3,93.5,90.3
37,66,129,6,2,0,3,2,3,3,3,3,66.60000000000001,115.8,233.70000000000002,10.8
61,45,48,22,1,1,2,0,0,0,3,0,111.3,82.5,86.4,39.6
20,34,23,24,0,3,3,2,3,3,3,0,33.0,62.7,42.9,46.2
48,5,180,60,1,2,0,1,3,0,0,2,84.9,12.0,324.0,107.5
46,23,48,2,0,0,1,2,0,2,2,1,82.8,39.4,85.9,5.6
84,13,51,29,1,0,0,1,2,0,1,0,150.70000000000002,23.400000000000002,90.8,53.7
59,48,50,57,2,1,1,1,2,1,2,0,107.2,86.9,89.5,104.10000000000001
71,15,33,22,3,3,3,0,3,3,2,0,129.3,28.5,61.9,39.6
31,34,45,50,0,3,3,0,1,2,2,3,54.800000000000004,63.7,83.5,87.0
101,37,58,54,1,1,1,3,1,2,3,2,182.3,66.10000000000001,102.9,99.7
33,36,54,183,1,3,0,0,2,2,3,1,58.9,67.3,94.2,328.40000000000003
50,66,98,17,0,3,1,0,3,2,0,2,87.0,121.3,177.9,28.6
187,41,11,151,0,0,0,3,0,1,2,1,336.6,72.8,17.8,275.3
33,14,28,117,1,1,3,0,2,2,1,2,58.9,24.7,53.9,208.6
62,15,67,108,2,3,0,0,0,1,1,0,114.60000000000001,30.5,119.60000000000001,194.4
22,110,3,50,3,2,1,1,1,2,3,0,43.1,199.0,3.9000000000000004,91.5
56,25,35,4,2,2,2,3,2,2,2,1,101.8,46.0,64.0,10.7
0,69,4,63,0,0,2,3,1,0,1,0,0.0,124.2,9.2,117.9
46,4,63,74,1,2,3,2,1,0,3,3,83.3,10.2,114.9,133.20000000000002
13,2,16,150,1,2,1,2,1,2,0,3,23.900000000000002,4.6,30.3,270.0
52,48,20,38,3,3,1,1,0,1,0,3,98.10000000000001,89.9,37.5,66.9
62,15,63,56,3,2,0,1,2,2,3,1,114.10000000000001,28.0,110.4,101.3
53,170,38,48,1,0,2,1,0,3,0,1,96.9,303.0,71.4,86.9
11,16,45,105,0,2,2,1,0,2,1,0,19.8,29.8,83.0,190.5
24,36,52,51,1,3,0,3,1,1,1,0,43.7,68.3,92.60000000000001,96.3
0,9,194,20,3,1,0,3,0,1,0,3,0.0,16.7,349.2,37.5
63,26,24,41,1,3,3,2,3,3,1,0,111.9,48.300000000000004,46.7,76.8
22,60,18,58,3,0,0,2,3,2,3,2,41.1,106.0,29.4,105.4
120,129,61,4,2,0,2,3,2,0,0,2,217.0,232.20000000000002,112.8,9.7
24,51,66,44,0,1,2,2,3,0,3,2,40.2,93.3,118.8,80.2
43,70,159,133,3,0,0,0,0,0,3,2,81.9,126.0,283.2,237.4
42,36,4,40,2,2,3,1,3,0,3,1,75.60000000000001,67.8,8.7,72.5
1,35,61,160,1,0,1,3,3,1,3,0,0.2999999999999998,62.0,108.3,292.5
59,42,58,69,1,2,3,2,0,0,1,3,107.7,78.60000000000001,107.9,124.2
60,0,21,64,3,2,1,1,0,2,3,3,112.5,0.0,36.300000000000004,113.7
50,50,197,54,2,2,1,3,2,3,2,1,91.0,90.0,354.1,100.7
40,65,64,180,1,3,1,2,3,0,0,1,70.5,121.5,116.7,326.0
187,32,171,61,1,2,2,3,0,0,3,1,338.1,60.6,307.8,113.3
33,13,42,43,2,1,3,3,2,2,3,1,60.4,22.900000000000002,77.10000000000001,80.9
14,10,152,45,1,2,3,1,0,2,3,2,26.7,19.0,275.1,80.5
57,130,60,60,3,2,0,1,2,3,0,2,105.10000000000001,234.0,108.0,107.5
47,21,13,49,3,3,3,1,2,0,3,2,87.10000000000001,42.300000000000004,24.900000000000002,87.7
3,25,38,58,1,1,2,0,1,3,2,0,5.9,43.5,69.4,104.4
52,43,121,55,3,1,1,3,2,2,1,0,96.10000000000001,76.9,218.3,103.5
70,59,163,55,1,1,1,2,0,1,3,0,127.5,106.7,291.90000000000003,102.0
69,23,35,7,1,2,0,0,0,1,3,1,125.7,43.4,60.0,11.6
8,59,30,22,1,3,3,3,1,1,3,1,14.9,109.7,55.5,43.1
12,18,10,30,3,3,3,1,3,0,1,2,23.1,36.9,21.5,53.5
20,68,138,49,2,2,0,3,0,0,3,2,39.0,125.4,245.4,90.7
4,35,66,59,3,2,0,0,3,2,3,3,8.7,64.0,115.8,103.2
50,99,33,91,3,0,0,2,2,0,3,0,92.5,178.20000000000002,56.4,166.8
16,189,61,4,1,3,3,3,3,2,1,1,27.3,342.7,113.3,10.7
196,46,197,14,3,3,0,1,1,0,3,2,356.3,87.3,351.6,24.7
19,68,45,20,2,0,3,2,0,0,2,1,37.2,122.4,83.5,38.0
64,37,17,2,0,2,2,3,0,0,1,3,115.2,69.60000000000001,32.6,5.1
62,131,33,12,1,2,2,2,3,3,0,3,110.10000000000001,235.8,62.4,21.6
24,183,40,6,1,1,2,2,1,1,3,2,43.7,329.90000000000003,72.0,11.8
70,170,61,150,1,2,3,0,2,3,1,1,125.5,306.0,113.3,269.0
25,130,32,34,1,0,0,0,1,2,2,0,45.5,232.0,55.6,61.2
8,158,131,58,0,1,1,1,0,0,3,1,14.4,285.90000000000003,234.3,104.9
117,69,66,69,3,1,0,0,2,1,0,0,213.1,124.7,118.8,124.2
96,173,65,33,3,3,1,2,2,0,2,1,175.3,315.90000000000003,116.5,61.4
49,77,81,57,3,2,2,3,1,1,2,3,91.7,140.6,146.8,104.10000000000001
27,13,54,28,2,2,3,2,0,1,3,2,51.6,25.400000000000002,98.7,51.4
73,58,8,60,0,2,3,1,2,0,1,3,129.4,107.4,17.9,106.5
152,41,23,70,0,2,3,1,2,1,1,2,271.6,75.8,44.9,125.5
27,92,61,69,3,2,0,0,1,2,0,1,52.1,166.6,109.8,123.2
49,11,65,152,0,3,1,3,2,3,3,2,86.2,21.3,115.5,276.1
59,57,47,25,0,3,3,1,0,2,3,3,106.2,105.10000000000001,86.10000000000001,43.5
15,63,41,2,1,3,0,2,3,1,3,0,25.5,116.9,70.8,6.6
39,34,120,43,3,1,0,2,2,0,3,0,72.7,62.7,213.0,80.4
168,6,144,11,1,2,3,0,0,2,2,3,303.90000000000003,11.8,261.7,16.8
1,42,67,39,2,1,1,1,1,0,0,2,3.8,77.10000000000001,122.10000000000001,69.7
36,192,35,37,1,2,3,3,2,0,0,1,64.3,348.6,67.5,70.10000000000001
30,1,13,11,1,2,3,3,2,2,1,3,53.5,2.8,26.900000000000002,21.3
3,17,17,29,3,2,0,0,1,0,1,3,8.9,33.6,29.6,49.2
47,24,29,8,2,2,1,3,1,0,0,0,86.60000000000001,46.2,53.7,18.9
45,185,35,63,1,2,3,2,3,0,0,2,79.5,336.0,67.5,114.4
21,69,20,197,2,2,3,3,2,0,3,2,38.800000000000004,127.2,37.5,357.1
70,62,63,199,2,3,3,3,1,3,3,3,128.0,113.10000000000001,114.9,359.7
3,196,89,14,3,1,0,1,0,2,0,0,9.9,352.3,160.20000000000002,26.7
104,22,142,22,2,2,2,1,2,3,1,3,188.20000000000002,39.6,257.6,38.1
19,110,8,24,1,1,0,3,3,0,3,1,32.7,199.5,11.4,46.7
14,45,111,55,2,3,3,0,2,1,0,2,26.2,84.5,204.3,97.0
39,28,56,127,1,2,2,3,2,3,3,0,69.7,50.4,100.8,233.1
22,14,66,20,0,0,0,0,3,2,2,0,36.6,23.2,116.8,36.0
50,0,96,143,2,1,1,3,3,2,3,1,90.0,0.0,171.3,260.90000000000003
68,15,56,53,3,0,0,1,2,1,1,2,124.9,26.0,99.8,94.9
181,45,89,15,3,0,2,3,1,2,2,0,329.3,79.0,161.20000000000002,31.5
10,10,67,50,1,3,3,1,3,2,0,3,16.5,20.5,125.10000000000001,88.5
0,13,12,22,0,2,3,0,1,2,0,3,0.0,24.400000000000002,26.1,36.6
31,51,195,48,0,1,1,0,3,0,1,1,52.800000000000004,93.3,351.5,85.4
24,19,11,64,2,0,3,1,3,2,3,0,43.2,32.2,21.3,116.7
35,47,18,22,0,3,1,2,3,1,1,3,60.0,88.10000000000001,32.9,39.6
67,139,57,59,2,1,3,2,1,0,0,2,122.60000000000001,251.70000000000002,107.10000000000001,107.2
30,82,70,55,3,3,0,0,3,2,1,1,55.5,150.1,125.0,98.0
46,57,61,75,3,0,3,2,1,0,2,3,86.3,102.60000000000001,112.3,135.0
61,26,176,63,0,3,2,3,3,3,2,0,106.8,48.300000000000004,317.8,117.9
2,55,22,187,0,1,0,3,3,2,1,0,0.6000000000000001,98.5,38.6,341.1
0,48,17,47,3,2,3,0,1,0,3,1,0.0,89.4,32.1,83.60000000000001
14,196,36,165,3,0,0,0,3,2,3,0,26.7,350.8,61.8,297.0
39,0,99,80,1,0,0,0,3,1,3,2,68.7,0.0,175.20000000000002,142.0
42,21,88,16,1,0,1,0,3,2,0,0,74.10000000000001,35.800000000000004,159.9,28.8
21,70,55,64,1,2,0,1,0,3,2,3,39.300000000000004,126.0,97.0,113.7
10,21,187,163,3,0,2,1,2,2,2,0,20.5,35.800000000000004,337.6,294.90000000000003
20,9,59,67,2,3,1,3,0,3,3,0,39.0,17.7,104.7,125.10000000000001
62,8,9,31,2,2,0,3,2,3,0,1,112.60000000000001,14.399999999999999,16.2,59.300000000000004
78,29,8,41,2,3,3,0,1,3,1,1,142.4,53.7,17.9,72.8
35,61,56,18,0,1,1,3,0,1,3,0,63.0,110.3,99.3,36.9
3,62,17,54,0,3,1,1,2,3,3,0,3.4000000000000004,113.10000000000001,29.1,98.7
2,195,60,55,0,2,3,0,2,0,1,0,1.6,354.0,111.5,99.0
64,40,62,52,3,3,3,1,1,2,1,3,118.7,74.5,115.10000000000001,92.10000000000001
24,114,116,6,1,0,1,0,1,0,1,3,43.7,205.20000000000002,209.3,7.800000000000001
26,160,41,50,2,2,3,3,0,2,0,2,49.800000000000004,289.0,78.3,92.5
63,34,171,4,2,2,1,1,0,1,2,1,116.4,63.2,307.3,7.699999999999999
28,54,70,61,1,0,3,2,3,0,0,0,48.9,97.2,130.5,112.8
179,42,49,42,2,2,3,1,2,3,3,3,323.2,75.60000000000001,89.7,74.10000000000001
27,0,49,1,1,0,0,3,1,0,0,3,49.1,0.0,88.2,3.3
47,69,84,148,2,1,1,0,1,0,2,2,86.60000000000001,125.7,150.70000000000002,264.40000000000003
54,164,11,35,0,0,0,1,3,3,3,2,94.2,292.2,16.8,62.5
40,11,14,0,2,0,0,1,3,1,3,1,72.0,18.8,22.2,0.0
32,17,31,35,3,1,0,1,3,3,0,1,59.1,29.1,55.800000000000004,63.5
54,69,9,47,3,1,2,0,0,0,1,0,101.7,125.7,18.2,84.60000000000001
38,148,55,194,1,3,0,1,1,2,0,1,68.9,268.90000000000003,99.0,349.7
8,39,15,52,2,2,0,1,3,0,2,0,14.399999999999999,73.2,25.0,95.10000000000001
143,23,137,66,1,1,1,0,3,0,1,1,255.90000000000003,42.9,247.1,117.8
23,11,15,61,1,0,1,0,1,2,0,0,41.9,17.8,28.5,109.8
52,39,32,48,1,3,2,1,2,3,1,0,93.10000000000001,71.7,59.6,87.9
22,64,54,17,3,1,1,2,1,0,1,0,43.1,116.7,97.7,33.6
20,27,176,97,2,3,2,0,0,2,1,1,39.0,51.1,318.8,173.6
4,66,122,69,3,2,2,0,0,0,0,2,11.7,121.8,222.6,122.2
11,7,11,62,3,1,2,1,3,0,3,0,21.3,14.1,19.8,113.10000000000001
94,15,66,48,1,2,3,0,2,3,1,1,168.70000000000002,27.0,122.3,85.4
70,67,159,37,0,2,1,0,3,0,2,0,123.0,123.60000000000001,285.7,66.60000000000001
54,40,51,120,1,0,0,0,1,2,3,2,97.7,70.0,88.8,214.0
46,86,151,68,2,2,0,0,1,1,3,2,84.8,156.8,268.8,120.4
5,67,29,33,0,0,0,2,2,3,0,3,7.0,117.60000000000001,52.2,59.4
21,26,5,70,2,3,0,2,1,1,1,3,39.800000000000004,50.300000000000004,8.0,126.0
52,43,20,38,0,3,3,2,3,2,1,0,90.60000000000001,79.9,39.5,71.4
129,61,63,16,0,0,3,2,1,1,1,2,231.20000000000002,108.8,116.9,29.8
53,6,129,2,1,2,1,3,1,0,3,2,95.9,13.8,230.70000000000002,6.1
14,43,9,17,3,3,0,1,1,1,3,2,28.7,80.9,13.2,30.1
25,21,11,59,3,1,1,3,3,3,2,0,46.5,36.300000000000004,19.3,110.7
65,60,23,5,2,2,2,2,2,3,3,1,118.0,108.0,41.4,11.0
53,5,103,29,1,2,0,3,2,3,1,1,94.9,9.0,184.4,55.7
34,29,5,64,3,3,0,1,0,2,2,3,65.7,54.7,7.0,113.7
35,103,48,105,3,3,0,3,2,3,0,0,65.5,186.9,86.4,193.5
18,52,64,46,2,3,2,0,3,2,2,2,32.4,96.10000000000001,116.2,80.8
22,92,39,12,3,1,1,1,1,1,0,3,43.1,166.1,71.7,20.1
148,16,40,60,0,0,0,2,2,2,0,3,264.40000000000003,26.8,72.0,108.0
139,42,37,38,2,2,2,1,3,3,1,3,250.20000000000002,75.60000000000001,68.60000000000001,66.9
38,0,127,75,0,3,3,2,3,0,2,3,65.4,0.0,231.1,135.0
133,15,63,14,2,1,3,1,0,1,3,3,242.4,27.5,114.9,23.7
63,64,134,45,0,0,3,3,3,0,1,0,110.4,115.2,244.70000000000002,85.5
46,25,56,36,0,0,0,2,0,2,3,2,82.8,43.0,97.8,65.8
72,49,34,48,0,0,3,0,0,1,1,1,129.6,87.2,64.7,85.4
1,27,195,0,1,3,3,2,2,0,1,3,1.2999999999999998,53.1,354.5,0.0
20,51,53,35,3,2,0,1,1,2,0,2,39.5,92.8,95.4,62.5
4,66,13,3,1,0,1,0,2,0,2,1,6.699999999999999,118.8,22.900000000000002,4.4
8,195,34,46,0,0,0,1,0,0,3,0,14.4,351.0,58.2,84.3
36,106,59,99,2,2,2,1,2,3,0,2,65.8,190.8,109.2,177.70000000000002
61,43,8,14,1,3,3,2,3,2,1,2,108.3,79.9,17.9,26.2
19,27,14,16,1,1,2,3,2,0,0,2,33.7,50.1,28.2,31.299999999999997
38,190,43,27,3,0,0,0,2,2,3,0,70.9,340.0,74.4,48.6
15,9,49,45,2,0,1,2,1,1,1,1,29.0,15.2,88.7,83.0
10,9,43,54,2,3,2,3,3,0,3,3,18.0,20.7,77.4,98.7
78,33,3,24,1,3,1,1,2,0,3,2,139.9,63.9,3.9000000000000004,42.7
0,9,21,47,0,3,2,1,3,0,3,0,0.0,20.7,37.800000000000004,86.10000000000001
59,28,5,10,1,1,3,0,1,1,1,1,106.7,50.9,12.5,17.0
38,35,69,25,1,1,1,2,0,0,1,2,69.9,64.5,124.7,46.0
56,137,69,5,1,1,0,1,2,0,0,1,100.3,248.1,124.2,9.5
28,167,45,65,2,2,3,2,3,3,1,0,50.4,300.6,84.5,120.0
57,127,121,97,3,0,3,3,2,1,1,1,105.10000000000001,227.6,221.3,178.1
9,166,59,120,1,3,0,0,3,2,2,2,14.7,301.3,104.2,214.0
25,27,106,6,3,1,3,0,1,0,1,2,48.5,50.1,194.3,8.8
17,125,124,43,1,0,1,0,3,1,0,2,29.1,224.0,224.70000000000002,75.4
51,138,8,43,3,3,1,1,3,3,0,0,93.3,249.9,15.9,78.9
70,20,25,149,0,1,0,1,2,3,2,2,124.0,34.5,43.0,267.7
18,69,11,3,1,1,1,3,0,1,3,0,33.9,124.7,18.3,9.9
47,7,177,48,0,0,0,2,3,3,3,3,81.60000000000001,9.6,315.6,86.4
59,18,69,17,2,1,1,3,1,1,3,3,108.2,32.9,122.7,32.1
171,29,8,5,3,1,0,2,2,1,0,3,310.3,52.7,14.4,9.0
56,31,11,7,0,1,0,2,0,1,1,1,100.8,56.300000000000004,18.8,14.6
53,35,134,31,1,0,3,2,3,2,0,3,93.9,61.0,245.70000000000002,55.800000000000004
28,60,44,18,3,3,1,3,0,0,3,3,54.9,112.5,77.7,33.9
139,44,7,81,1,3,0,2,2,0,3,2,249.70000000000002,83.7,9.6,146.8
182,185,26,52,0,0,2,2,2,1,3,2,325.6,332.0,46.800000000000004,94.60000000000001
103,4,122,13,0,3,3,2,2,2,0,2,183.4,9.7,224.1,24.400000000000002
16,26,196,11,0,3,0,1,1,0,0,3,27.8,51.300000000000004,352.8,18.3
11,18,12,67,0,3,3,2,2,3,1,0,17.8,33.9,25.1,123.60000000000001
68,13,63,169,2,2,3,3,0,2,2,0,125.4,24.400000000000002,115.9,308.7
29,99,45,101,2,3,0,3,3,3,1,2,52.2,179.70000000000002,80.0,184.3
33,22,57,56,2,0,1,2,2,1,2,3,60.4,38.6,102.10000000000001,100.8
35,29,47,50,1,1,0,1,3,3,1,3,61.5,50.7,83.60000000000001,88.5
29,20,62,18,3,3,3,1,2,1,0,3,54.7,39.5,116.10000000000001,30.9
179,106,36,59,0,2,1,0,2,3,3,0,320.2,190.8,63.3,106.2
130,4,31,25,3,2,0,2,1,3,3,3,237.5,7.199999999999999,52.800000000000004,45.0
27,3,30,41,3,3,2,3,3,2,2,1,50.1,7.9,55.0,77.3
96,11,52,37,0,3,3,2,0,0,1,3,172.8,24.3,97.10000000000001,66.60000000000001
81,60,47,35,3,0,1,3,2,0,1,0,148.3,108.0,85.10000000000001,67.5
32,127,2,0,1,2,0,3,3,2,3,1,56.1,229.6,0.6000000000000001,0.0
0,4,34,81,1,1,0,0,1,3,1,0,0.0,5.699999999999999,60.2,145.8
28,69,0,8,0,0,1,1,3,1,3,3,47.4,123.2,0.0,12.9
76,47,29,1,1,2,0,1,0,3,1,1,138.3,84.60000000000001,51.2,2.3
41,50,53,13,2,2,0,1,3,2,2,2,73.8,91.0,93.4,22.900000000000002
60,45,90,54,3,3,2,1,2,0,0,1,110.5,85.5,165.0,97.7
44,55,65,103,1,0,3,2,3,2,2,3,77.7,97.0,119.5,185.4
2,79,129,1,3,1,2,1,1,3,1,1,7.1,140.70000000000002,234.20000000000002,2.3
183,61,148,52,3,1,1,3,0,3,2,3,333.90000000000003,108.3,265.90000000000003,95.10000000000001
26,68,31,40,2,0,3,2,2,0,3,2,47.800000000000004,122.4,57.300000000000004,73.0
49,47,63,54,1,2,2,3,3,2,1,0,86.7,85.60000000000001,115.4,101.7
